Category: All categories

Week,Gonzaga University: (United States),Admission: (United States)
2017-12-10,2,14
2017-12-17,2,14
2017-12-24,1,10
2017-12-31,2,11
2018-01-07,2,13
2018-01-14,2,12
2018-01-21,2,12
2018-01-28,2,13
2018-02-04,2,12
2018-02-11,2,14
2018-02-18,2,13
2018-02-25,2,13
2018-03-04,4,13
2018-03-11,10,15
2018-03-18,22,15
2018-03-25,2,16
2018-04-01,2,14
2018-04-08,1,13
2018-04-15,1,13
2018-04-22,1,14
2018-04-29,1,13
2018-05-06,1,12
2018-05-13,1,13
2018-05-20,1,13
2018-05-27,1,13
2018-06-03,1,13
2018-06-10,1,13
2018-06-17,1,13
2018-06-24,1,14
2018-07-01,1,14
2018-07-08,1,15
2018-07-15,1,14
2018-07-22,1,14
2018-07-29,1,15
2018-08-05,1,14
2018-08-12,1,14
2018-08-19,1,16
2018-08-26,1,14
2018-09-02,1,14
2018-09-09,1,13
2018-09-16,1,12
2018-09-23,1,14
2018-09-30,1,15
2018-10-07,1,14
2018-10-14,1,14
2018-10-21,1,14
2018-10-28,2,14
2018-11-04,2,13
2018-11-11,2,13
2018-11-18,8,10
2018-11-25,3,13
2018-12-02,3,13
2018-12-09,5,13
2018-12-16,3,13
2018-12-23,2,10
2018-12-30,2,11
2019-01-06,2,13
2019-01-13,2,13
2019-01-20,2,12
2019-01-27,2,12
2019-02-03,2,11
2019-02-10,3,12
2019-02-17,3,12
2019-02-24,4,13
2019-03-03,3,14
2019-03-10,8,22
2019-03-17,16,20
2019-03-24,35,17
2019-03-31,14,14
2019-04-07,2,13
2019-04-14,1,14
2019-04-21,1,15
2019-04-28,1,14
2019-05-05,1,13
2019-05-12,1,13
2019-05-19,1,13
2019-05-26,1,14
2019-06-02,1,13
2019-06-09,1,13
2019-06-16,1,14
2019-06-23,1,14
2019-06-30,1,12
2019-07-07,1,12
2019-07-14,1,13
2019-07-21,1,13
2019-07-28,1,13
2019-08-04,1,14
2019-08-11,1,13
2019-08-18,1,14
2019-08-25,1,13
2019-09-01,1,14
2019-09-08,1,13
2019-09-15,1,14
2019-09-22,1,13
2019-09-29,1,14
2019-10-06,1,13
2019-10-13,1,14
2019-10-20,1,14
2019-10-27,1,13
2019-11-03,2,12
2019-11-10,2,12
2019-11-17,2,13
2019-11-24,3,10
2019-12-01,2,11
2019-12-08,2,12
2019-12-15,3,12
2019-12-22,1,9
2019-12-29,2,11
2020-01-05,2,11
2020-01-12,2,12
2020-01-19,2,13
2020-01-26,2,13
2020-02-02,2,11
2020-02-09,2,11
2020-02-16,3,12
2020-02-23,3,12
2020-03-01,2,11
2020-03-08,3,10
2020-03-15,1,7
2020-03-22,1,8
2020-03-29,1,8
2020-04-05,1,7
2020-04-12,1,8
2020-04-19,1,8
2020-04-26,1,8
2020-05-03,1,8
2020-05-10,1,8
2020-05-17,1,7
2020-05-24,1,7
2020-05-31,1,7
2020-06-07,1,8
2020-06-14,1,8
2020-06-21,1,7
2020-06-28,1,7
2020-07-05,1,7
2020-07-12,1,7
2020-07-19,1,8
2020-07-26,1,8
2020-08-02,1,8
2020-08-09,1,8
2020-08-16,1,8
2020-08-23,1,8
2020-08-30,1,8
2020-09-06,1,8
2020-09-13,1,8
2020-09-20,1,9
2020-09-27,1,8
2020-10-04,1,9
2020-10-11,1,9
2020-10-18,1,8
2020-10-25,1,9
2020-11-01,1,7
2020-11-08,1,7
2020-11-15,1,8
2020-11-22,4,6
2020-11-29,3,8
2020-12-06,1,8
2020-12-13,2,9
2020-12-20,3,6
2020-12-27,2,6
2021-01-03,2,7
2021-01-10,2,7
2021-01-17,2,8
2021-01-24,2,8
2021-01-31,2,8
2021-02-07,2,7
2021-02-14,2,8
2021-02-21,3,8
2021-02-28,3,9
2021-03-07,4,8
2021-03-14,8,10
2021-03-21,19,10
2021-03-28,38,9
2021-04-04,100,9
2021-04-11,2,9
2021-04-18,2,9
2021-04-25,1,8
2021-05-02,1,8
2021-05-09,1,8
2021-05-16,1,8
2021-05-23,1,8
2021-05-30,1,8
2021-06-06,2,8
2021-06-13,1,8
2021-06-20,1,8
2021-06-27,1,8
2021-07-04,1,8
2021-07-11,1,9
2021-07-18,1,9
2021-07-25,1,9
2021-08-01,1,9
2021-08-08,1,8
2021-08-15,1,9
2021-08-22,1,9
2021-08-29,1,9
2021-09-05,1,9
2021-09-12,1,9
2021-09-19,1,9
2021-09-26,1,10
2021-10-03,1,10
2021-10-10,1,10
2021-10-17,1,11
2021-10-24,1,11
2021-10-31,1,10
2021-11-07,2,9
2021-11-14,3,9
2021-11-21,7,7
2021-11-28,2,9
2021-12-05,3,9
2021-12-12,2,9
2021-12-19,1,7
2021-12-26,1,7
2022-01-02,2,10
2022-01-09,3,10
2022-01-16,2,9
2022-01-23,2,11
2022-01-30,2,11
2022-02-06,2,11
2022-02-13,3,11
2022-02-20,3,11
2022-02-27,4,12
2022-03-06,4,12
2022-03-13,15,14
2022-03-20,28,13
2022-03-27,3,12
2022-04-03,2,11
2022-04-10,1,10
2022-04-17,1,12
2022-04-24,1,12
2022-05-01,1,11
2022-05-08,1,11
2022-05-15,1,10
2022-05-22,1,10
2022-05-29,1,10
2022-06-05,1,10
2022-06-12,1,10
2022-06-19,1,10
2022-06-26,1,11
2022-07-03,1,10
2022-07-10,1,11
2022-07-17,1,10
2022-07-24,1,11
2022-07-31,1,11
2022-08-07,1,12
2022-08-14,1,12
2022-08-21,1,11
2022-08-28,1,11
2022-09-04,1,11
2022-09-11,1,11
2022-09-18,1,12
2022-09-25,1,10
2022-10-02,1,11
2022-10-09,1,12
2022-10-16,1,12
2022-10-23,1,12
2022-10-30,2,12
2022-11-06,3,10
2022-11-13,2,11
2022-11-20,4,8
2022-11-27,2,12
